model_index,model_name,model_human_corr,beta_acc_15_30_45_60_75,model_base_model_name,model_layer_name,model_contourtraining_diet,model_contourtraining_finetune
54,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_090.pt,-0.38317234523961874,[0.49  0.495 0.485 0.515 0.81 ],alexnet-pytorch_regim_categ,classifier.2,90,True
55,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_026.pt,0.7553165689364808,[0.9675 0.9675 0.88   0.5925 0.505 ],alexnet-pytorch_regim_categ,classifier.2,26,True
56,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_060.pt,-0.5416566896409558,[0.4925 0.6025 0.92   0.98   0.8625],alexnet-pytorch_regim_categ,classifier.2,60,True
57,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_004.pt,0.5886878999841534,[0.93   0.545  0.5    0.5    0.4975],alexnet-pytorch_regim_categ,classifier.2,4,True
58,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_010.pt,0.6895447176860394,[0.9675 0.7    0.4975 0.4975 0.4975],alexnet-pytorch_regim_categ,classifier.2,10,True
59,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_028.pt,0.7458143680767255,[0.96   0.9775 0.8875 0.59   0.505 ],alexnet-pytorch_regim_categ,classifier.2,28,True
60,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_020.pt,0.7627302536756978,[0.9825 0.9325 0.695  0.51   0.485 ],alexnet-pytorch_regim_categ,classifier.2,20,True
61,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_002.pt,0.6336140885559365,[0.8925 0.5575 0.5025 0.4975 0.495 ],alexnet-pytorch_regim_categ,classifier.2,2,True
62,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_016.pt,0.7326156244403201,[0.985  0.8825 0.59   0.5    0.49  ],alexnet-pytorch_regim_categ,classifier.2,16,True
63,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_012.pt,0.6977975710914736,[0.98   0.785  0.51   0.5025 0.4875],alexnet-pytorch_regim_categ,classifier.2,12,True
64,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_015.pt,0.7308233853958396,[0.99   0.8575 0.5675 0.5025 0.4925],alexnet-pytorch_regim_categ,classifier.3,15,True
65,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_010.pt,0.6896914632440864,[0.9775 0.7125 0.51   0.4975 0.4975],alexnet-pytorch_regim_categ,classifier.3,10,True
66,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_028.pt,0.7333398758189186,[0.975  0.98   0.9025 0.58   0.5   ],alexnet-pytorch_regim_categ,classifier.3,28,True
67,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_022.pt,0.7568230587366443,[0.9825 0.935  0.735  0.5075 0.48  ],alexnet-pytorch_regim_categ,classifier.3,22,True
68,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_000.pt,0.5849864584804241,[0.895  0.5375 0.5    0.4925 0.5   ],alexnet-pytorch_regim_categ,classifier.3,0,True
69,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_024.pt,0.7632428730733113,[0.99   0.96   0.79   0.5175 0.505 ],alexnet-pytorch_regim_categ,classifier.3,24,True
70,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_075.pt,-0.6210157352391755,[0.485  0.505  0.64   0.935  0.9475],alexnet-pytorch_regim_categ,classifier.3,75,True
71,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_090.pt,-0.3593492619909836,[0.5025 0.495  0.4775 0.515  0.81  ],alexnet-pytorch_regim_categ,classifier.3,90,True
72,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_020.pt,0.754831799125341,[0.98  0.935 0.7   0.51  0.495],alexnet-pytorch_regim_categ,classifier.3,20,True
73,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_012.pt,0.6935897640593527,[0.9825 0.755  0.52   0.495  0.5   ],alexnet-pytorch_regim_categ,classifier.3,12,True
74,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_016.pt,0.734634396280799,[0.9775 0.885  0.6    0.5075 0.4775],alexnet-pytorch_regim_categ,classifier.3,16,True
75,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_030.pt,0.6894675846289208,[0.975 0.965 0.92  0.655 0.53 ],alexnet-pytorch_regim_categ,classifier.3,30,True
76,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_026.pt,0.7375791377676005,[0.9775 0.9625 0.875  0.5625 0.495 ],alexnet-pytorch_regim_categ,classifier.3,26,True
77,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_014.pt,0.7137423890918833,[0.9925 0.8225 0.555  0.4975 0.5   ],alexnet-pytorch_regim_categ,classifier.3,14,True
78,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_006.pt,0.6518756347392328,[0.94   0.61   0.5075 0.4975 0.4975],alexnet-pytorch_regim_categ,classifier.3,6,True
79,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_008.pt,0.6717101290016725,[0.9525 0.6775 0.5075 0.4975 0.505 ],alexnet-pytorch_regim_categ,classifier.3,8,True
80,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_002.pt,0.6175058306074156,[0.9025 0.5625 0.5    0.5    0.4975],alexnet-pytorch_regim_categ,classifier.3,2,True
81,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_018.pt,0.7498737523899144,[0.9875 0.9175 0.6375 0.5075 0.4825],alexnet-pytorch_regim_categ,classifier.3,18,True
82,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_060.pt,-0.5399184425436315,[0.475  0.5975 0.9175 0.9875 0.9025],alexnet-pytorch_regim_categ,classifier.3,60,True
83,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_3/model_alexnet-pytorch-regim-categ_layer_classifier-3_mode_finetune_beta_045.pt,0.01298510248846539,[0.69   0.9475 0.97   0.945  0.62  ],alexnet-pytorch_regim_categ,classifier.3,45,True
